"","sampleID","BearID","pubname","year.sampled","year.represent","bearyear.sampled","bearyear.represent","sex","birth","age","reprostatus.represent","C13","N15","trophicpos","weight","headcirc","capturedate","Cmonth","cort.kit","cortisol","C13.suess","fYR"
"740","224","W9806","Femma",2000,1999,"W9806_2000","W9806_1999","F","1996","4","SolitaryF",-22.19,4.86,"2.9","NA","58",2000-04-17,"4","1","8.3699999999999992",-22.542,"1999"
"741","415","W9806","Femma",2005,2004,"W9806_2005","W9806_2004","F","1996","9","WithCubs",-22.87,4.29,"2.73","94","64",2005-04-15,"4","1","3.6",-23.112,"2004"
"742","481","W9806","Femma",2007,2006,"W9806_2007","W9806_2006","F","1996","11","WithCubs",-23.01,4.63,"2.83","91","64",2007-04-19,"4","1","3.31",-23.208,"2006"
"743","168","W9807","Silias",1999,1998,"W9807_1999","W9807_1998","M","1988","11","SolitaryM",-22.75,7.37,"3.64","178","74",1999-04-08,"4","1","1.93",-23.124,"1998"
"744","330","W9807","Silias",2003,2002,"W9807_2003","W9807_2002","M","1988","15","SolitaryM",-22.42,4.17,"2.7","NA","NA",NA,"13","1","2.65",-22.706,"2002"
"745","150","W9808","Eja",1998,1997,"W9808_1998","W9808_1997","F","1997","1","WithMother",-22.83,4.51,"2.8","24","42",1998-04-18,"4","1","3.06",-23.226,"1997"
"746","151","W9809","Åmyn",1998,1997,"W9809_1998","W9809_1997","M","1997","1","WithMother",-22.77,4.38,"2.76","25","43",1998-04-18,"4","1","2.4700000000000002",-23.166,"1997"
"747","152","W9811","Lias",1998,1997,"W9811_1998","W9811_1997","M","1985","13","SolitaryM",-22.61,5.99,"3.23","180","73",1998-04-24,"4","1","0.93",-23.006,"1997"
"748","169","W9811","Lias",1999,1998,"W9811_1999","W9811_1998","M","1985","14","SolitaryM",-22.63,4.53,"2.8","175","76",1999-04-20,"4","1","2.41",-23.004,"1998"
"749","274","W9811","Lias",2002,2001,"W9811_2002","W9811_2001","M","1985","17","SolitaryM",-22.94,5.45,"3.07","184","73",2002-04-09,"4","1","7.27",-23.248,"2001"
"750","153","W9812","Moa",1998,1997,"W9812_1998","W9812_1997","F","1997","1","WithMother",-22.71,4.94,"2.92","20","42",1998-04-27,"4","1","1.95",-23.106,"1997"
"751","154","W9812","Moa",1998,1997,"W9812_1998","W9812_1997","F","1997","1","WithMother",-22.16,4.6,"2.82","20","42",1998-04-27,"4","1","3.79",-22.556,"1997"
"752","225","W9812","Moa",2000,1999,"W9812_2000","W9812_1999","F","1997","3","SolitaryF",-22.25,5.34,"3.04","63","55",2000-06-13,"6","1","2.2599999999999998",-22.602,"1999"
"753","155","W9813","Amos",1998,1997,"W9813_1998","W9813_1997","M","1997","1","WithMother",-22.28,5.29,"3.03","29","44",1998-04-27,"4","1","2.63",-22.676,"1997"
"754","156","W9814","Bella",1998,1997,"W9814_1998","W9814_1997","F","1997","1","WithMother",-22.3,5.3,"3.03","23","42",1998-04-27,"4","1","2.63",-22.696,"1997"
"755","245","W9814","Bella",2001,2000,"W9814_2001","W9814_2000","F","1997","4","SolitaryF",-22.47,4.57,"2.81","67","54",2001-04-27,"4","1","2.73",-22.8,"2000"
"756","373","W9814","Bella",2004,2003,"W9814_2004","W9814_2003","F","1997","7","WithCubs",-22.59,3.84,"2.6","87","61",2004-04-18,"4","1","2.2000000000000002",-22.854,"2003"
"757","482","W9814","Bella",2007,2006,"W9814_2007","W9814_2006","F","1997","10","WithCubs",-22.55,4.17,"2.7","85","62",2007-04-17,"4","1","3.31",-22.748,"2006"
"758","789","W9814","Bella",2010,2009,"W9814_2010","W9814_2009","F","1997","13","WithCubs",-22.92,4.16,"2.69","86","63",2010-04-22,"4","2","16.329999999999998",-23.052,"2009"
"759","633","W9814","Bella",2012,2011,"W9814_2012","W9814_2011","F","1997","15","SolitaryF",-22.65,5.55,"3.1","86","62",2012-05-21,"5","2","6.14",-22.738,"2011"
"760","171","W9901","Flermoberget",1999,1998,"W9901_1999","W9901_1998","M","1993","6","SolitaryM",-22.5,5.84,"3.19","149","68.5",1999-04-09,"4","1","1.84",-22.874,"1998"
"761","170","W9902","Torpa",1999,1998,"W9902_1999","W9902_1998","F","1998","1","WithMother",-22.5,5.94,"3.22","45","46",1999-04-10,"4","1","1.62",-22.874,"1998"
"762","416","W9903","Kulla",2005,2004,"W9903_2005","W9903_2004","F","1997","8","WithCubs",-22.38,4.01,"2.65","75","60",2005-04-17,"4","1","4.92",-22.622,"2004"
"763","515","W9903","Kulla",2008,2007,"W9903_2008","W9903_2007","F","1997","11","WithCubs",-22.51,4.07,"2.67","71","61",2008-04-30,"4","1","8.74",-22.686,"2007"
"764","790","W9903","Kulla",2010,2009,"W9903_2010","W9903_2009","F","1997","13","WithCubs",-22.57,4.27,"2.73","78","63",2010-04-21,"4","2","13.65",-22.702,"2009"
"765","173","W9904","Flena",1999,1998,"W9904_1999","W9904_1998","F","1994","5","WithCubs",-21.7,5.21,"3","111","60",1999-04-12,"4","1","1.22",-22.074,"1998"
"766","174","W9905","Våna",1999,1998,"W9905_1999","W9905_1998","F","1998","1","WithMother",-21.32,7.33,"3.63","26","41",1999-04-12,"4","1","1.39",-21.694,"1998"
"767","175","W9907","Jöllmyr_k3:1",1999,1998,"W9907_1999","W9907_1998","M","1998","1","WithMother",-22.11,4.86,"2.9","29","42",1999-04-12,"4","1","1.39",-22.484,"1998"
"768","176","W9908","Sussi",1999,1998,"W9908_1999","W9908_1998","F","1998","1","WithMother",-22.4,4.69,"2.85","23","41.5",1999-04-12,"4","1","2.5299999999999998",-22.774,"1998"
"769","227","W9908","Sussi",2000,1999,"W9908_2000","W9908_1999","F","1998","2","SolitaryF",-22.16,4.46,"2.78","51","49",2000-06-13,"6","1","1.68",-22.512,"1999"
"770","331","W9909","Stubba",2003,2002,"W9909_2003","W9909_2002","F","1989","14","WithCubs",-22.62,3.86,"2.61","78","66",2003-04-14,"4","1","2.65",-22.906,"2002"
