sampleID,BearID,pubname,year.sampled,year.represent,bearyear.sampled,bearyear.represent,sex,birth,age,reprostatus.represent,C13,N15,trophicpos,weight,headcirc,capturedate,Cmonth,cort.kit,cortisol
35,W8807,Tippingen,1996,1995,W8807_1996,W8807_1995,M,1984,12,SolitaryM,-22.33,5.06,2.96,145,66,4/12/1996,4,1,3.24
122,W8807,Tippingen,1998,1997,W8807_1998,W8807_1997,M,1984,14,SolitaryM,-22.6,5.6,3.12,168,74,4/8/1998,4,1,2.03
214,W8807,Tippingen,2000,1999,W8807_2000,W8807_1999,M,1984,16,SolitaryM,-22.55,5.81,3.18,150,69,4/17/2000,4,1,2.58
264,W8807,Tippingen,2002,2001,W8807_2002,W8807_2001,M,1984,18,SolitaryM,-22.57,6.36,3.34,NA,72,4/11/2002,4,1,3.1
366,W8807,Tippingen,2004,2003,W8807_2004,W8807_2003,M,1984,20,SolitaryM,-23,5.35,3.04,170,73,4/14/2004,4,1,2.18
120,W8808,Noppihonan,1990,1989,W8808_1990,W8808_1989,F,1981,9,WithCubs,NA,NA,NA,98,61,4/6/1990,4,1,2.03
105,W8808,Noppihonan,1992,1991,W8808_1992,W8808_1991,F,1981,11,WithCubs,NA,NA,NA,95,60,4/11/1992,4,1,2.03
36,W8808,Noppihonan,1996,1995,W8808_1996,W8808_1995,F,1981,15,WithCubs,-22.55,3.92,2.62,94,62,4/21/1996,4,1,3.07
2,W8808,Noppihonan,1997,1996,W8808_1997,W8808_1996,F,1981,16,SolitaryF,-22.34,4.19,2.7,111,62,7/1/1997,7,1,0.73
157,W8808,Noppihonan,1999,1998,W8808_1999,W8808_1998,F,1981,18,WithCubs,-22.4,4.21,2.71,90,61,4/19/1999,4,1,3.49
841,W8808,Noppihonan,2003,2002,W8808_2003,W8808_2002,F,1981,22,WithCubs,-22.53,4.22,2.71,83,62,4/24/2003,4,2,7.81
106,W8811,Mossihonan,1992,1991,W8811_1992,W8811_1991,F,1978,14,WithCubs,NA,NA,NA,103.5,60,4/6/1992,4,1,2.03
37,W8811,Mossihonan,1996,1995,W8811_1996,W8811_1995,F,1978,18,WithCubs,-22.18,4.69,2.85,102,64,4/19/1996,4,1,3.57
3,W8811,Mossihonan,1997,1996,W8811_1997,W8811_1996,F,1978,19,WithCubs,-22.17,4.99,2.94,104,62,4/28/1997,4,1,1.9
158,W8811,Mossihonan,1999,1998,W8811_1999,W8811_1998,F,1978,21,SolitaryF,-22.23,6.1,3.26,140,64,4/23/1999,4,1,1.8
4,W8904,Täxåshonan,1997,1996,W8904_1997,W8904_1996,F,1987,10,WithCubs,-22.63,5.13,2.98,100,62,4/16/1997,4,1,1.95
215,W8904,Täxåshonan,2000,1999,W8904_2000,W8904_1999,F,1987,13,WithCubs,-22.42,5.17,2.99,107,60,4/16/2000,4,1,2.44
842,W8904,Täxåshonan,2003,2002,W8904_2003,W8904_2002,F,1987,16,WithCubs,-22.83,4.39,2.76,84,60,4/16/2003,4,2,7.69
445,W8904,Täxåshonan,2006,2005,W8904_2006,W8904_2005,F,1987,19,WithCubs,-23.22,4.75,2.87,91,61,4/22/2006,4,1,4.65
38,W8905,Björnbergshonan,1996,1995,W8905_1996,W8905_1995,F,1987,9,WithCubs,-22.22,4.29,2.73,85,59,4/22/1996,4,1,2.78
5,W8905,Björnbergshonan,1997,1996,W8905_1997,W8905_1996,F,1987,10,SolitaryF,-22.44,4.98,2.94,90,58,6/30/1997,6,1,0.77
76,W8906,Tunturihonan,1995,1994,W8906_1995,W8906_1994,F,1981,14,WithCubs,NA,NA,NA,NA,64,5/2/1995,5,1,2.81
6,W8906,Tunturihonan,1997,1996,W8906_1997,W8906_1996,F,1981,16,WithCubs,-22.63,4.44,2.78,118,65,4/15/1997,4,1,2.01
159,W8906,Tunturihonan,1999,1998,W8906_1999,W8906_1998,F,1981,18,WithCubs,-22.48,4.82,2.89,110,66,4/21/1999,4,1,2.74
238,W8906,Tunturihonan,2001,2000,W8906_2001,W8906_2000,F,1981,20,WithCubs,-22.38,4.72,2.86,125,69,4/25/2001,4,1,1.76
858,W8906,Tunturihonan,2003,2002,W8906_2003,W8906_2002,F,1981,22,WithCubs,-22.64,4.65,2.84,97,65,4/13/2003,4,2,5.36
409,W8906,Tunturihonan,2005,2004,W8906_2005,W8906_2004,F,1981,24,WithCubs,-23.5,3.89,2.61,127,70,4/16/2005,4,1,6.54
107,W9001,Kräckelbäckshonana,1992,1991,W9001_1992,W9001_1991,F,1984,8,WithCubs,NA,NA,NA,100,61,4/9/1992,4,1,2.03
77,W9002,Risbergshanen,1995,1994,W9002_1995,W9002_1994,M,1989,6,SolitaryM,NA,NA,NA,160,72,4/18/1995,4,1,1.57
108,W9003,Jöllmyrshonan,1992,1991,W9003_1992,W9003_1991,F,1989,3,SolitaryF,NA,NA,NA,55,50,4/8/1992,4,1,2.03
39,W9003,Jöllmyrshonan,1996,1995,W9003_1996,W9003_1995,F,1989,7,WithCubs,NA,NA,NA,92,58,4/12/1996,4,1,2.96
7,W9003,Jöllmyrshonan,1997,1996,W9003_1997,W9003_1996,F,1989,8,WithCubs,-22.31,5.03,2.95,103,59,4/16/1997,4,1,2.03
